,radius,conc,steps seeds,steps walkers,fractal dimension
442,4,0.0699,2.375,2.375,2.4685
443,4,0.0699,2.375,3.0,2.4749
444,4,0.0699,3.0,0.5,2.4557
445,4,0.0699,3.0,1.125,2.4618
446,4,0.0699,3.0,1.75,2.4688
447,4,0.0699,3.0,2.375,2.4398
448,4,0.0699,3.0,3.0,2.4324
449,4,0.085151,0.5,0.5,2.5798
450,4,0.085151,0.5,1.125,2.5917
451,4,0.085151,0.5,1.75,2.5823
452,4,0.085151,0.5,2.375,2.5688
453,4,0.085151,0.5,3.0,2.5751
454,4,0.085151,1.125,0.5,2.5867
455,4,0.085151,1.125,1.125,2.5784
456,4,0.085151,1.125,1.75,2.5811
457,4,0.085151,1.125,2.375,2.5703
458,4,0.085151,1.125,3.0,2.5744
459,4,0.085151,1.75,0.5,2.5968
460,4,0.085151,1.75,1.125,2.5892
461,4,0.085151,1.75,1.75,2.5641
462,4,0.085151,1.75,2.375,2.5696
463,4,0.085151,1.75,3.0,2.5701
464,4,0.085151,2.375,0.5,2.5369
465,4,0.085151,2.375,1.125,2.5704
466,4,0.085151,2.375,1.75,2.5281
467,4,0.085151,2.375,2.375,2.5340000000000003
468,4,0.085151,2.375,3.0,2.5192
469,4,0.085151,3.0,0.5,2.5192
470,4,0.085151,3.0,1.125,2.4987
471,4,0.085151,3.0,1.75,2.4961
472,4,0.085151,3.0,2.375,2.5202
473,4,0.085151,3.0,3.0,2.5013
474,4,0.099766,0.5,0.5,2.6201
475,4,0.099766,0.5,1.125,2.6344
476,4,0.099766,0.5,1.75,2.6281
477,4,0.099766,0.5,2.375,2.6276
478,4,0.099766,0.5,3.0,2.6198
479,4,0.099766,1.125,0.5,2.6094
480,4,0.099766,1.125,1.125,2.6181
481,4,0.099766,1.125,1.75,2.6147
482,4,0.099766,1.125,2.375,2.602
483,4,0.099766,1.125,3.0,2.6206
484,4,0.099766,1.75,0.5,2.6008
485,4,0.099766,1.75,1.125,2.5998
486,4,0.099766,1.75,1.75,2.5883
487,4,0.099766,1.75,2.375,2.6207
488,4,0.099766,1.75,3.0,2.6126
489,4,0.099766,2.375,0.5,2.5818
490,4,0.099766,2.375,1.125,2.5742
491,4,0.099766,2.375,1.75,2.5673
492,4,0.099766,2.375,2.375,2.5656
493,4,0.099766,2.375,3.0,2.5797
494,4,0.099766,3.0,0.5,2.5696
495,4,0.099766,3.0,1.125,2.5689
496,4,0.099766,3.0,1.75,2.546
497,4,0.099766,3.0,2.375,2.563
498,4,0.099766,3.0,3.0,2.559
499,5,0.039716,0.5,0.5,2.5714
500,5,0.039716,0.5,1.125,2.5438
501,5,0.039716,0.5,1.75,2.5829
502,5,0.039716,0.5,2.375,2.5619
503,5,0.039716,0.5,3.0,2.571
504,5,0.039716,1.125,0.5,2.5473
505,5,0.039716,1.125,1.125,2.5809
506,5,0.039716,1.125,1.75,2.5469999999999997
507,5,0.039716,1.125,2.375,2.5835
508,5,0.039716,1.125,3.0,2.5252
509,5,0.039716,1.75,0.5,2.5656
510,5,0.039716,1.75,1.125,2.5625
511,5,0.039716,1.75,1.75,2.5545
512,5,0.039716,1.75,2.375,2.5548
513,5,0.039716,1.75,3.0,2.5558
514,5,0.039716,2.375,0.5,2.5291
515,5,0.039716,2.375,1.125,2.4788
516,5,0.039716,2.375,1.75,2.5538
517,5,0.039716,2.375,2.375,2.5453
518,5,0.039716,2.375,3.0,2.5161
519,5,0.039716,3.0,0.5,2.5289
520,5,0.039716,3.0,1.125,2.4944
521,5,0.039716,3.0,1.75,2.47
522,5,0.039716,3.0,2.375,2.5302
523,5,0.039716,3.0,3.0,2.5148
524,5,0.054609000000000005,0.5,0.5,2.5516
525,5,0.054609000000000005,0.5,1.125,2.5764
526,5,0.054609000000000005,0.5,1.75,2.5647
527,5,0.054609000000000005,0.5,2.375,2.5627
528,5,0.054609000000000005,0.5,3.0,2.5533
529,5,0.054609000000000005,1.125,0.5,2.5581
530,5,0.054609000000000005,1.125,1.125,2.5607
531,5,0.054609000000000005,1.125,1.75,2.5675
532,5,0.054609000000000005,1.125,2.375,2.5508
533,5,0.054609000000000005,1.125,3.0,2.5755
534,5,0.054609000000000005,1.75,0.5,2.5403
535,5,0.054609000000000005,1.75,1.125,2.5209
536,5,0.054609000000000005,1.75,1.75,2.5494
537,5,0.054609000000000005,1.75,2.375,2.5533
538,5,0.054609000000000005,1.75,3.0,2.5452
539,5,0.054609000000000005,2.375,0.5,2.5099
540,5,0.054609000000000005,2.375,1.125,2.5168
